mwe;label;short_sentence
смотреть в лицо;I;За исключением эмоциональной молодой женщины, изображение которой находится в часах, все они ведут себя подло и избегают смотреть в лицо действительности.
смотреть в лицо;I;Мы не можем попрать смерть. Нужно смотреть в лицо фактам».
смотреть в лицо;L;"В тексте на  ""иврит""иврите сказано, что израильтянам было трудно смотреть в лицо Моисея, ?? ??? ??? ???? (ки каран ор пнав)."
смотреть в лицо;L;"Таковы, например, запрещения говорить с родными  ""Родственные отношения""братьями и  ""сестра""сёстрами, смотреть в лицо родственникам определённых категорий близости и т. п."
поставить точку;I;19 мая 2012 года в финале Лиги чемпионов Арьен, при счёте 1:1 не реализовал пенальти в дополнительное время этот пенальти мог поставить точку в матче, но удар Арьена был парирован голкипером «Челси».
поставить точку;I;Мистические и жуткие события, берущие начало в далеком 1913 году, сегодня готовы поставить точку и в судьбе сына Бориса Григорьева — молодого историка Вадима Григорьева, вынужденного работать охранником в старинном отеле.
поставить точку;I;Не было ни битвы под Москвой, ни блокады Ленинграда, и летом 1944 г. крупномасштабное стремительное советское наступление должно было окончательно поставить точку в Великой Отечественной войне.
поставить точку;I;Уже после 32 хода позиция приняла совершенно безжизненный вид, фактически, здесь игрокам следовало поставить точку и согласиться на ничью.
поставить точку;I;"Но затем, решив поставить точку в процессе политической нестабильности, Президент Всеобщего национального конгресса Ливии Нури Абусамэйни  ""5 мая""5 мая утвердил Ахмеда Майтыга в должности нового премьер-министра:
 ""19 мая""19 мая в правительстве премьер-министра страны Абдуллы Абдурахмана ат-Тани предложили снова пр"
поставить точку;I;Узнав об их планах, Маргарита запирает сестру, а сама направляется к Амадору, чтобы поставить точку в этой истории.
поставить точку;I;По искам ВГТРК, из офиса «Радио-1» была вывезена вся техника. На этом, конечно, можно поставить точку в истории, но есть и вторая часть.
поставить точку;I;Смущённо одеваясь, все негласно решают «забыть» о произошедшем. Вместо Гренуя казнят невиновного, лишь бы поставить точку в этой истории.
поставить точку;I;В заявлении Шварц сказал: «Сейчас самое подходящее время поставить точку — лучше уходить на вершине успеха».
поставить точку;I;"В декабре  ""2009 год""2009 года Семён Якубов принял решение снова выйти на старт Ралли Дакар в  ""Ралли Дакар 2010""2010 году и на этом поставить точку в своей спортивной карьере."
поставить точку;I;"И когда осенью в „Этажах“ появилась идея сделать такую итоговую выставку — и я, и художники поняли, что это лучший финал этой истории. Не продолжать, а просто собраться вместе и дружно поставить точку» —  ""Белый, Пётр""Петр Белый, 2009. Источники"
поставить точку;I;Его доклады часто давали возможность поставить точку в дискуссиях об эффективности или бесполезности применения на практике того или иного метода лечения.
поставить точку;I;В ответ на заявления, что он использует термин «капитализм» неправильно, Карсон говорит, что он сознательно намерен возродить то, что по его утверждению, является изначальным определением слова, чтобы «поставить точку».
поставить точку;I;"Захват Кыски должен был поставить точку в Алеутской кампании, и американское командование, помня о кровавом  ""битва за Атту""сражении за Атту, запланировало к высадке значительные силы."
поставить точку;I;А роды будут тяжёлыми. И смерть матери и ребёнка заставит мастера поставить точку. Последняя его скрипка оказывается в монастыре, и в течение 100 лет на ней играют лучшие дети-музыканты, воспитывающиеся в монастыре.
поставить точку;I;«Ни один серьёзный историк не согласится с тем, что на основании этих отредактированных томов можно поставить точку на этой теме», — сказано в отчёте, в котором были затребованы дополнительные архивные документы.
поставить точку;I;"В 325 году императором Константином Великим был созван  ""Первый Никейский собор""Никейский собор, основной задачей которого было поставить точку в религиозных спорах между александрийским епископом  ""Александр Александрийский""Александром и популярным в народе  ""пресвитер""пресвитером  ""Арий""Арием (эти споры стали переходить в массовые стычки между сторонниками Александра и Ария на улицах и рынках Александрии)."
поставить точку;I;Персонажи фильма типизированы, что лишает их психологической глубины, а знаменитая и без конца имитируемая концовка — признак нарративной слабости: вместо того, чтобы поставить точку, зрителя заставляют ждать продолжения.
поставить точку;I;На «Культпросвете» Михалок решил поставить точку на два — три года в выпуске альбомов, чтобы подкопить достойного материала для будущей пластинки.
поставить точку;I;"Мещерский получил наибольшую известность как влиятельный консервативный публицист и консультант правительства (сперва  ""Александр ""Александра , затем, после кратковременной опалы, —  ""Николай ""Николая ), прославившийся своим предложением «поставить точку» реформам Александра ."
поставить точку;I;Цитируем: «Завтра у нас бюджетное послание, поэтому, сегодня по целому ряду вопросов нужно будет поставить точку.
поставить точку;I;Брачный договор дополнял союзнический договор, который позволял России размещать войска на севере Германии. Карлу Леопольду русские войска были нужны, чтобы поставить точку в его конфликте с рыцарями. В этом браке родилась дочь Елизавета Катерина Кристина, будущая Анна Леопольдовна.
поставить точку;I;Таким образом, по мнению Дидье Рауля, в споре об этиологии Чёрной смерти можно поставить точку — её виновницей, без сомнения, была бактерия .
поставить точку;I;"Затем, намереваясь окончательно поставить точку в их отношениях,  ""Блэр Уолдорф""Блэр приходит к Чаку, который, не желая отпускать ее, едва не применяет физическую силу, в итоге лишь поранив себя."
поставить точку;I;Коменданту с. Алтайского Баричу. На селах Демино и Александровка поставить точку. Нужно стереть эти села с лица земли.
поставить точку;I;15 октября 1840 года в столице Османской империи он встретился с лордом Понсонби, которому предложил обратиться к султану с просьбой издать декрет, формально осуждающий кровавый навет, аналогично изданному в своё время указу Сулеймана  Великолепного, и таким образом поставить точку над обоими делами, в Дамаске и на Родосе.
поставить точку;I;Но Эмили говорит, что ей от этого стало легче и она, отчасти, благодарна Джеймсу за то, что он помог поставить точку в отношениях с Коннеллом.
поставить точку;I;" ""26 июня""26 июня  ""2008""2008 Григорий Петренко представил перед Комитетом Министерств Иностранных Дел Европейского союза вопрос под номером 551, связанное с «отказом румынских властей признавать право молдаван на  ""Национальная идентичность""националюную идентичность» (документ под номером 11668): В какой мере румынских властей совпадает с нормами  ""Совет Европы""Совета Европы, и какие предоставления возьмёт Совет Министров, чтобы предотвратить насилия прав молдаван в Румынии, чтобы имели национальную идентичность, и поставить точку этому насилию?."
поставить точку;I;"В единственном опубликованном на гибель Башлачёва в 1998 году  ""некролог""некрологе в феврале 1988 года в «Рекламно-информационном обозрении», написано: «Когда-то  ""Арсений Тарковский""Арсений Тарковский   заметил: гений приходит в мир не для того, чтобы открыть новую эпоху, а для того, чтобы закрыть старую. Досказать то, что не смогли досказать другие, подвести итог и поставить точку. СашБаш закрыл собою время колокольчиков»."
поставить точку;I;В результате поимки Карповым первого преступника он переходит дорогу одному из лучших оперативников окружного УВД капитану Михаилу Зотову, оба подстраивают друг для друга ловушки на протяжении всего сериала, рассчитывая раз и навсегда поставить точку в своем затянувшемся поединке.
поставить точку;I;В книге, которой он планировал поставить точку в приключениях Арчера, и которая так и не вышла, Макдональд планировал заодно избавиться, вот только не от своего литературного героя, а от себя самого.
поставить точку;I;На протяжении двухсот лет исследователи не могут поставить точку в вопросе о времени основания Каменца.
поставить точку;I;«Для меня важны интересы компании, и именно поэтому я написала заявление об уходе, чтобы тем самым поставить точку в бессмысленном скандале»,— заявляла Громницкая в январе 2012 года.
поставить точку;I;"К сожалению, на этом я не могу поставить точку. Позднее (в  ""1948 год""1948 году) я был лишён этого звания и по второму разу надел погоны контр-адмирала. "
поставить точку;I;"Собор был созван императором  ""Константин Великий""Константином Великим, для того чтобы поставить точку в споре между Александрийским епископом  ""Александр Александрийский""Александром и  ""Арий (еретик)""Арием, который отрицал единосущность  ""Иисус Христос""Христа  ""Бог Отец""Богу Отцу."
поставить точку;L;Точки первоначально ставились на разных уровнях: либо у основания буквы, либо на уровне ее середины. Иногда писец, прерывая работу, мог поставить точку даже в середине слова. В соответствии с настоящими правилами постановка точки связана с необходимостью обозначить границы между «событиями» отражаемой в тексте действительности точка передает элемент субъективного смысла высказывания (говорит о его цели) в-третьих, она осуществляет а
поставить точку;L;После имени необходимо поставить точку, а затем числовой идентификатор необходимого объекта в фигурных скобках, например, .
балансировать на грани;I;"Комиссаров убивают, командиры своевольничают. Фрунзе приходится балансировать на грани, чтобы сплотить армию. Одновременно развивается  ""Весеннее наступление Русской армии (1919)""наступление  ""Русская армия (1919)""Русской армии."
смотреть в глаза;I;В конце фильма убийца ставит Хелен в точно такую же ситуацию, в которой она пережила нападение, и ей приходится посмотреть в глаза своему страху и преодолеть его, чтобы спасти себя и окружающих.
смотреть в глаза;I;"Мне было стыдно смотреть в глаза своим коллегам, которых я убеждал поддержать его кандидатуру на пост премьера» ( ""Волков, Александр Михайлович (политик)""Александр Волков в украинском журнале «Профиль» за 09.02.2008)."
смотреть в глаза;I;Иначе «нам было бы впоследствии стыдно смотреть в глаза миллионам русских людей, находящихся в советских тюрьмах и концентрационных лагерях».
смотреть в глаза;I;"Обыкновенная банда. А я привык смотреть в глаза бандитам. ""26 июля""26 июля  ""1945 год""1945 года Прице было посмертно присвоено звание  ""Орден Народного героя""Народного героя Югославии."
смотреть в глаза;I;Клюев и в более сложных случаях не боялся выйти и посмотреть в глаза простым людям. 
смотреть в глаза;I;Этот наполовину автобиографичный, наполовину собирательный образ фронтовика-окопника, живущего одной жизнью со своими боевыми товарищами и привыкшего спокойно смотреть в глаза смерти, Астафьев во многом списал с самого себя и со своих фронтовых друзей, противопоставив его тыловикам-приживальщикам, которые в больших количествах обитали на протяжении всей войны в сравнительно безопасной прифронтовой зоне и к которым писатель до конца дней испытывал глубочай
смотреть в глаза;I;И пришлось сказать Айзеку — «мужик, ничего личного, мы с тобой хорошо работали, но это  , и если мы не сделаем это, то как же потом смотреть в глаза всем, кого мы уже сделали?» И вот мы поняли, что мы должны это сделать, и мы сделали это, и, наверное, мы открыли людям окно, и они стали меньше бояться.
смотреть в глаза;I;Те, кто разбирается в футболе, понимают, что мы бы выбыли из борьбы в любом случае. Нужно было просто посмотреть в глаза голландцев до того, как мне показали красную карточку.
смотреть в глаза;I;Иногда нужно посмотреть в глаза обездоленному ребёнку и понять, что ты можешь сделать именно для него...
смотреть в глаза;I;Только они не способны смотреть в глаза жизни — она не хочет ничего менять, может быть, только партнёра по анонимному сексу, он же уже доказал свою неспособность бороться, он способен оставаться только со своим одиночеством… Проходит последняя среда их встречи.
смотреть в глаза;I;Я могу только сказать, что мы честно делали своё дело и сегодня я могу спокойно смотреть в глаза своим детям и внукам.
смотреть в глаза;I;"Однако, неожиданно появляется отец Тиррея Франк — опустившийся пьяница — который сперва пытается  ""Вымогательство""вымогать деньги у богача, а затем оскорбляет его. Тиррей исчезает из города, не в силах смотреть в глаза Футрозу. Прошло несколько лет."
смотреть в глаза;I;"А кроме того, царь пожелал посмотреть в глаза актерам, и все они предстали перед очи государя…», а сам «драматург» взялся за написание нового драматургического произведения: Уже в следующем,  ""1673 год""1673 году, окрыленный Грегори поставил второй спектакль."
смотреть в глаза;L;В фильме Перси пользуется отражением в плеере( ), чтобы не смотреть в глаза Горгоне, а затем отрубает ей голову.
смотреть в глаза;L;Занимающиеся любовью видят вблизи выражение лица друг друга, могут смотреть в глаза друг другу, ясно слышать дыхание, вздохи, постанывания и другие звуки, усиливающие любовную страсть.
смотреть в глаза;L;Вместе с другими независимыми режиссёрами Нью-Йорка Плимптон выпустил два сборника короткометражных мультфильмов «Избегайте смотреть в глаза» (  ).
смотреть в глаза;L;• Одержимая Уна — жители Эль-Шаада недаром сторонятся этого странного ребёнка: никто не знает, откуда она пришла и как ей удалось преодолеть городские стены, обманув бдительность стражника. Никто не решается смотреть в глаза сиротке, ведь в её взгляде таится нечто зловещее. Кажется, сам огненный демон присматривает за чумазым дитя.
смотреть в глаза;L;Для человеческого образа лешего характерно стремление скрыть своё лицо, нежелание смотреть в глаза собеседнику, отсутствие бровей и ресниц, а иногда и ноздрей или правого уха, или одного глаза (или выпуклые глаза, или правый глаз всегда неподвижен и больше левого, или глаза больше человеческих), синяя кровь и, как следствие, синяя кожа (иногда синий цвет переносится на одежду), о
смотреть в глаза;L;" ""Доброта""Доброта: понимание, любовь, смотреть в глаза, чувствовать родственную душу добрый, чуткий, внимательный, заботливый."
смотреть в глаза;L;"Во время заседания присутствовавший на нем лидер Радикальной партии Украины, депутат Верховной Рады  ""Олег Ляшко""Олег Ляшко набросился на обвиняемых с криками, пытался заставить их поднять головы и смотреть в глаза присутствующим, бил палкой по голове и оскорблял, называя «идиотами»."
смотреть в глаза;L;"Описав свою  ""Автобиография""автобиографию, Пандора пишет, что она планирует искать Мариуса в  ""Новый Орлеан""Новом Орлеане, а также посмотреть в глаза Лестата и попытаться понять, что же он увидел."
еле дышит;I;Бабушка ворчала, когда я ложился на ватное одеяло, которым была закрыта кровать (Без того одеяльчишко еле дышит), но я все-таки лег на неразобранную постель, не разделся, лишь сбросил ботинки.
еле дышит;I;«Тут Кузькин глаз, глядевший на девочку, вдруг подмигнул, а из игрушечницы послышалось: „Он лежит и еле дышит, ручкой-ножкой не колышет!“ — и Наташа услышала про домовёнка вот такую историю».
еле дышит;I;Проходя по улицам Парижа, взгляни на улицы и окна: в торговле царит полный застой, она еле дышит,- это следствие спекуляции.
еле дышит;I;"Следа от крыльев нет! И безумный еле дышит...
 ""Я люблю тебя, мой свет!"" --"
еле дышит;I;"Вот я живу, угождаю им, как лихой болести, да и то беда. А молчу -- еле дышу...
 -- Какая ж вам корысть, что вы еле дышите? Уж коли все одно волк козу обдерет, так лучше козе вволю по лесу наскакаться."
еле дышит;I;-- Король шведский предпочитает, чтобы они съели друг друга! Радзивилл никогда не был надежен, он о себе только думал... Кроме того, он, говорят, уже еле дышит. Кто допустил до того, что его окружили, того поминай как звали.
еле дышит;I;Одни говорят, что князя-воеводы нет в живых другие говорят, будто он еще воюет с Сапегой, но сам еле дышит.
еле дышит;I;Ноги расставил, рукава засучил, кулачища у него громадные, -- лошаденку свою вожжей по глазам хлещет. Лошаденка-то хилая, еле дышит, морду в гору дерет. А он ее по глазам, по глазам.
еле дышит;I;-А, новенький,- проговорил он,- Ну, так вот,- тяжелая рука его опустилась на плечо Павки и толкнула к самоварам,- они у тебя всегда должны быть готовы, а они видишь,- один затух, а другой еле дышит.
еле дышит;I;Что толку говорить больному, который прикован к постели, что он больной. Ну, подойди к нему, он еле дышит, а ты ему еще ляпни: вы тяжело больны! Что за бред.
еле дышит;I;- Девушка, день добрый, можно приземлиться? А то мой конь устал, еле дышит. Катя подняла глаза - высокий, белобрысый и очень загорелый парень пристраивал свой велосипед рядом с её великом.
еле дышит;I;"""Н ""B""и ""B""когда,-- ""B""  ""B""кричит,-- ""B""  ""B""этот прекрасный момент я тебе не забуду!"" И вдруг заслабла совсем, легла на траву, еле дышит. ""Поцелуй,-- ""B""  ""B""говорит,-- ты мене, крепче, поцелуй, чт ""B""об душу выпить!"""
еле дышит;I;"Уезжаю - сердце болит, плакать хочется: текстильный комбиќнат стоит, лесхоз еле дышит... Выход один: топор за пояс - и вон из поселка""."
еле дышит;I;Тепловоз ТУ7А-2866 был отставлен от работы в связи неисправностью дизеля, который отправлен в Вологду на замену или ремонт. Тепловоз ТУ7А-3349 еле дышит т.к. возникают большие проблемы с ремонтом.
еле дышит;I;-- Куда ей искать доктора! Она еле дышит и от страха под печку забилась... Сходили бы, барин! Я оделся и пошел в дом Милютихи.
еле дышит;I;" Прибегаю к приятелю:
 - Не горюй, мне тоже пятнадцать дала. А он лежит, еле дышит, совсем про гарантию позабыл..."
еле дышит;I;Но он давно уже в упадке. Техники осталось совсем немного, да и та еле дышит. Еще совсем недавно была свиноферма, но ее закрыли.
еле дышит;I;"Ей ""нравится"" это катанье, а между тем, садясь в санки, она, как и в те разы, бледна, еле дышит от страха, дрожит."
еле дышит;I;"Не чужие ведь...
 "" Верно, не чужие,- опустила глаза Клавдия Федоровна, - куда как близкие. Вот он там лежит, еле дышит, а ты тут сидишь, председательша завкома, и в тебе тоже хорошего мало. А когда-то очень хотели, чтобы я с глаз ваших пропала, сгинула, чтобы не мешала вам любиться - хороводиться."
еле дышит;I;"Тут человек еле дышит, боится, как бы его не притянули к делу за то, что дал приют беспаспортному, а беспаспортный, как на грех, ""ляпнул"" при ""самом"" квартальном: ""это ты меня успокоил""."
еле дышит;I;По первому вопросу требовалось согласовать с центром, написали рекламацию, отправили гонца в Париж. Дочечка еле дышит, думали, не оклемается. Через пару дней приходит в себя.
еле дышит;I;-- Вот и теперь еле дышит, а вступился-таки за Юранда и послал им вызов... Такого-то зятя и нужно Юранду.
еле дышит;I;"Иногда Глава думал, что не провезти молодому рыцарю Данусю живой через эти страшные пустыни, где не было никакой дичи, где по ночам приходилось стеречь лошадей от волков и медведей, а днем уступать дорогу стадам зубров и туров, где страшные кабаны точили кривые клыки о корни сосен и где всякому, кому не удавалось подстрелить из арбалета или пронзить копьем оленя, по целым дням нечего было есть. ""Как же, -- думал Глава, -- он будет здесь ехать с такой измученной девушкой, которая еле дышит?"" То и дело приходилось им объезжать широкие трясины и глубокие овраги, на дне которых шумели вздувшиеся от весенних дождей потоки."
еле дышит;I;Они убьют искусство. Оно и то еле дышит! Вы видите, что я должен был со всеми перессориться, потому что я не скрывал своих мнений, истинные или ложные они -- не знаю.
еле дышит;I;-- чуть слышно прошептал Цезарь. -- Посмотрите на этого проклятого иоаннита, он и так еле дышит и ежеминутно меняется в лице. Вам не трудно будет одолеть его, когда настанет время.
еле дышит;I;" -- Ты чего охальничаешь благо отпору тебе настоящего не дадут, -- накинулась на корявую старуха, -- видишь, чай, буркалами-то своими, что она еле дышит.
"
еле дышит;L;В это время домой возвращается мать, она возмущена, что на её диване валяется бездыханный Саид. Хёрли проверяет, и действительно, тот еле дышит. Они с отцом решают погрузить его в машину и увезти показать Джеку.
еле дышит;L;Что вы делаете! Девочка еле дышит! Она совсем больна!
еле дышит;L;какая у нее талия! но она еле дышит, бедная барышня. Маменька уже несколько раз осмотрела ее с ног до головы.
еле дышит;L;Я так и обмер, бегу вон, ну кричать: сюда, сюда! Собрались, развязали: еле дышит. Барин пришел бледный как смерть, -- за фельдшером, за доктором!
еле дышит;L;Прихожу как-то раз в осенях: лежит один косоглазенькой и еле дышит, глянул на меня, да и опять нос под себя подвернул.
еле дышит;L;Парень молодой, голова вся, лицо в крови, одежа чудная, алая да мягкая -- тоже в крови, изодрана. Сам парень еле дышит, глаз не раскрывает. Приказал мне батька за водой сбегать, да как принесла воды, он уж и раздел парня, зипун свой на него накинул -- и грозно так говорит мне: никому, Маруська, не моги сказывать того, что видела... Одежу я эту спрячу до поры до времени, а как поставлю молодца на ноги, так он нам с тобою большое спасибо скажет.
еле дышит;L;После этого мышонок вставляет хвост Тома в электрическую розетку как вилку . Тома закоротило, он убегает за кресло и еле дышит. Наконец, отдышавшийся кот идет полакать молока.
еле дышит;L;"Знаете, он еще красивый мужчина! """"Мы замедляем шаги, потому что Роза еле дышит. Она хрипит, как опоенная лошадь, и грудь у нее тяжело вздымается."
еле дышит;L;"Лицо его, испитое и обрюзглое, не похоже на лица остальных сплавщиков... Одним словом, это личность, без которой теперь на Руси не обходится ни одна артель, ни один кабак, ни один сброд нищих и убогих... Эта личность страшно пришиблена судьбой, проникнута насквозь сознанием своей низменности, а потому всячески старается скрыть свое ""благородство"", в котором ее подозревают... В рваном деревенском полушубке ей гораздо легче дышится, чем в потертом пальто или жилетке, которую вы, расщедрившись, вздумаете ей пожертвовать."
еле дышит;L;Беспрестанно повторяя и приговаривая эти слова, работники тузили его кулаками и палками. Некоторые из них подошли к раненому и увидели, что голова у него пробита и он еле дышит. Из уст в уста вверх по косогору понеслись крики, дошедшие наконец на Кармелитской площади до ушей альгуасила, который, прихватив с собой двух полицейских, с молниеносной быстротой прибыл на место драки и увидел, что раненый уже на осле, что осел, принадлежавший Лопе, изловлен, а сам Лопе окружен двумя десятками водовозов, не подпускавших к нему никого и пересчитывавших ему ребра с таким усердием, что за жизнь его приходилось бояться не меньше, чем за жизнь раненого: так дружно работали кулаки и дубинки мстителей за чужое бесчестие.
еле дышит;L;Одно меня удручало: я не знал, что делается с вами и похитил ли Богун панну. А тут говорят, что он в Черкассах лежит, еле дышит: так его искромсали князья. Я в Черкассы вы ведь знаете, что я умею лечить раны и накладывать пластыри.
еле дышит;L;"А Ягенка, наклонившись во тьме, чтобы найти огниво и трут, заговорила:
-- Я боялась за тебя, потому что Бездух тоже пошел с рогатиной и топором -- и медведь его разорвал. Упаси, Господи, Мацько огорчился бы, а ведь он и так еле дышит... Ну вот взяла я рогатину и пошла. -- Так это ты за соснами пряталась?"
еле дышит;L;-- Я, во всяком случае, оберегу паненку и от тех рыцарей, потому что жена пана Збышка еле дышит, несчастная... Может быть, и помрет.
еле дышит;L;"Наконец изловчился я и саданул его по правому плечу гляжу, рука повисла я по левому, -- другая повисла. Гляжу: он еле дышит. ""Что, голубчик?"""
ходить налево;I;Ей все никак не удавалось придумать свою фишку: за что она будет бороться, кого клеймить, стоит ли сходить налево или качнуться вправо, или важно просто верно выбрать союзников, договорившись о финансовых потоках.
ходить налево;I;И Ева защебетала приготовленную версию о своей подруге, к которой охладел муж и стал посматривать на сторону, и чтобы он вернулся, нужна вредная и жадная красотка, - а точнее, барышня, которая ее талантливо сыграет и тем самым отобъет охоту ходить  налево.
ходить налево;I;А ночью весна вплывает в окно,
ходить налево;L;--Что нам все ходить налево,-- сказал Петард, выходя из дому.-- Барышня никогда не узнает Парижа, если мы ей только будем показывать набережную да Ботанический сад.
ходить на задних лапах;I;Я не смог бы ради подобного признания заставить себя ходить на задних лапах и, не будь у меня иного выбора, предпочел бы, как пленный Самсон, всю жизнь вертеть жернова, нежели развлекать филистимлянских дам и вельмож, и не из-за какой-то там неприязни -- подлинной или напускной -- к нашей аристократии: они занимают в свете свое место, а я свое, и доведись нам столкнуться, как это случилось в старинной басне о чугунном и глиняном горшках, то худо пришлось бы мне.
ходить на задних лапах;I;Я уж хотел к вам с почтением идти, да вдруг, слышу, вы с губернатором связались, зазвали к себе и ходили перед ним с той же бабушкой на задних лапах!
ходить на задних лапах;I;Разве у меня другого дела не было, как быть медвежатником и учить пана маршала ходить на задних лапах?
ходить на задних лапах;L;"""Дальше, мол, катите, с лап на лапы передавайте до царя до батюшки!"" А сами стоят на задних лапах, передни облизывают... И шею, и грудь. Домой пришли, медвежата отцов да матерей лизать стали... На всех хватило!.."
